Unnamed: 0,text,date,score,mapped_label,predicted_label,predicted_score
0,four volunteers entered a simulated mars habitat as part of a nasa mission for 378 days. the participants will face challenges that simulate real life conditions for a human mission to mars. they will live and work in a 3d printed habitat at the johnson space center in houston.,2023-06-29T13:18:33.497Z,0,1,2,1
1,"thank you! i ve had to remind myself at least once a week for the past year, hey... it s pretty cool to be interning at freaking nasa!",2023-07-23T05:08:55.198Z,1,2,2,1
2,high altitude clouds captured by nasa perseverance rover on sol 738 before sunrise. nasa jpl caltech simeon schmauÁE,2023-07-15T19:30:49.033Z,0,1,1,0
3,"the fantastic jess bush and i had a great convo about spock and chapel s feelings for each other on , and i asked jess about her visit to nasa! she s so cool.",2023-07-13T18:41:18.999Z,1,2,2,1
4,with that nasa shirt i can only imagine were going to space. that sounds pretty hecking cool tbh d,2023-07-08T15:21:20.936Z,1,2,2,1
5,"very cool. how about some alt text for the image? you can just use the figure caption the first anniversary image from nasa s james webb space telescope displays the rho ophiuchi cloud complex, the closest star forming region to earth. nasa esa csa stsci klaus pontoppidan",2023-07-12T16:28:17.313Z,1,2,2,1
6,"note the hexagonal feature in the image of sn 2004et is due to jwst s mirrors! similar to how 6 spikes appear in stars in jwst images. the galaxy is 22 million ly away. cred for imgs in op left nasa, esa, csa, ori fox, melissa shahbandeh, alyssa pagan right kpno, nsf noirlab, aura, alyssa pagan",2023-07-05T19:52:24.015Z,0,1,1,0
7,nasa in a black metal style works considering many of it s founding members were nazis in both cases,2023-07-03T00:02:25.333Z,-1,0,0,-1
8,this was my official nasa lunch for most of the time i worked there lmfao i never got the fancy shaker though,2023-07-02T14:59:55.386Z,1,2,2,1
9,nasa is paying 55m per seat and dragon isn t profitable? maybe it s still too soon?,2023-07-25T03:13:27.772Z,-1,0,0,-1
10,there s footage out there from nasa of some terrestrial based weapon shooting at a ufo. it s almost like the world power in favour of hegemony and imperialism wants to bomb the fuck out of these beings capable of preventing nuclear war and trying to tell everyone that we should love each other lmao,2023-07-16T18:08:07.586Z,-1,0,0,-1
11,libraries are almost always among the lowest funded of city or county services and i m sure people would be shocked to learn that. like when i worked for nasa as a policy analyst and our entire agency budget was like 14b.,2023-07-07T00:34:29.891Z,-1,0,0,-1
12,working on topological semantics for modal logic at nasa for the purposes of applications to distributed computing by way of coordinating firefighting drones.,2023-07-04T01:17:53.636Z,1,2,2,1
13,"avoiding people, huh? this time i m going to reach outside the nasa exoplanet archive for pso j318.5 22, a free floating or rogue , if you will planet which has flung itself out of its natal solar system and is floating alone out there in the peace of the interstellar reaches of the galaxy.",2023-07-24T22:15:25.399Z,-1,0,0,-1
14,"can confirm. my dad worked at jsc starting in 62, before it was actually built. i m the only member of my family that doesn t work at nasa. space is cool, but it sucks.",2023-07-19T14:50:52.642Z,-1,0,0,-1
15,"nature astronomy covers appreciation post voyager 2 breaks out of the bubble 2019 image ben c. smith, johns hopkins apl nasa jpl cover design allen beattie",2023-07-24T11:22:31.274Z,1,2,1,0
16,"neptune and its moon triton on august 31 1989, following the flyby of voyager 2. nasa jpl caltech kevin m. gill",2023-07-18T21:28:36.429Z,0,1,1,0
17,"jupiter, juno mission perijove 52 nasa jpl caltech msss swri kevin m. gill",2023-07-13T14:15:36.594Z,0,1,1,0
18,"i was in dc a couple years ago and i regret to inform you that it s still a thing. but i did not see anyone wearing it, so i m not sure who the target demographic is. everyone knows baddies wear nasa gear, not sure why fbi thinks it can compete",2023-07-05T17:20:07.701Z,0,1,2,1
19,"nasa engineer, circa 1960",2023-07-07T18:29:50.030Z,0,1,1,0
20,also at nasa,2023-07-10T22:24:48.233Z,0,1,1,0
21,"give this a try a cross parallel eye stereogram of a gnarly rock on mars taken tosol by the perseverance rover. use the left two images if you can do cross eye, the right two if you do parallel eye. mars in 3d! nasa jpl caltech asu kevin m. gill",2023-07-19T12:38:52.437Z,0,1,1,0
22,want to monitor bluesky like it s a web 1.0 nasa operation? skyfeed has you covered!,2023-07-26T08:52:59.479Z,1,2,2,1
23,"nasa expoplanets posted a quiz on another social media app, to see which exoplanet you re most like. i got a completely different exoplanet than the one that .bsky.social chose for me! it s nice, but i like k2 138 better!",2023-07-27T00:42:51.517Z,1,2,2,1
24,i wanna make nasa patches now lmaoooo with this logo,2023-07-02T17:34:33.375Z,1,2,2,1
25,"it s the 80s now. the moon is long gone. some souvenir rocks are safe at nasa. it s 2012 now. neil, man, you died. it was your heart of course. jessica rowshandel",2023-07-19T14:15:44.110Z,-1,0,0,-1
26,"on the morning of sept. 24, that sample from 8.5 billion year old bennu will land inside the utah test and training range near dugway proving ground. nasa officials hope clues to the origins of life in our universe will be on board.",2023-07-21T22:07:38.503Z,0,1,2,1
27,"the curiosity rover s sol 3878 workspace, taken post drive on july 4th. this is the area directly in front of the rover that is reachable by the arm. nasa jpl caltech msss kevin m. gill,",2023-07-06T16:49:21.646Z,0,1,1,0
28,after they announced aliens it makes more sense why nasa has fa 18s,2023-07-28T22:17:17.423Z,-1,0,0,-1
29,"because it s still cool to read about the latest science from actual scientists, so i still think the astronomy feed can have a lot of value to more engaged members of the public. over time if e.g. nasa or esa set up shop here then an outreach feed would have a lot of potential content.",2023-07-10T12:02:26.852Z,1,2,2,1
30,martian rock texture taken a few hours ago tosol 846 by the mars perseverance rover using the supercam. nasa jpl caltech lanl cnes irap kevin m. gill,2023-07-08T03:38:30.764Z,0,1,1,0
31,"happy sciversary to celebrate, here s a new peek at rho ophiuchi, our nearest star forming region. gorgeous! image credit nasa, esa, csa, stsci, k. pontoppidan stsci , a. pagan stsci",2023-07-12T10:41:46.327Z,1,2,1,0
32,"hello fellow gardeners! i am currently growing peppers from seeds that came off the parent plant on the iss for a citizen science experiment for nasa. i am heading back to school in aug to get a botany degree bc i i grow everything i can, my house is full of ufo books and plants.",2023-07-07T22:44:22.750Z,1,2,2,1
