,text,date,score
0,"he should do it on december 24th and call it a christmas gift. post election, lame duck goodness. throw in pardons for every federally incarcerated sex worker too. sign an executive order that nasa can only work with space x if elon quits. cool uncle joe shit.",2024-08-29T03:38:22.737Z,-1
1,"sol 1254 right mastcam z camera, imaged at 12 32 55.418 local mean solar time , image credit nasa jpl caltech asu",2024-08-30T15:31:22.561869+00:00,0
2,kind of wild that nasa is building something on the ground that is costing more than many space missions.,2024-08-28T17:17:34.199Z,-1
3,not surprised nasa chose space x over boeing. if you ve been following this saga it wouldn t surprise you either. boeing is a fucking joke.,2024-08-25T00:25:43.753Z,-1
4,nasa finally said what we all knew for weeks. this is probably the end for starliner.,2024-08-24T17:51:08.623Z,-1
5,new nasa web interactive 3d model files released gateway lunar space station new nasa web interactive 3d model files released gateway lunar space station by whateverwillbri,2024-08-26T16:57:03+00:00,1
6,i m sure the fact that nasa administrator nelson is bragging unceasingly about both companies having fixed price contracts makes them feel so much safer bsky.app profile symb...,2024-08-24T18:48:00.419Z,-1
7,why two nasa astronauts faced added danger because of incompatible spacesuits medium.com enrique dans...,2024-08-25T18:54:43.876Z,-1
8,nasa discovers a long sought global electric field on earth science.nasa.gov science rese...,2024-08-30T08:16:35.576Z,1
9,and elon in charge of nasa.,2024-08-24T03:18:21.125Z,0
10,"in 2018, nasa selected jezero crater as the landing site for the perseverance rover because it was thought to be the best place to search for evidence of life on mars. so why after 3 ½ years of exploration has nasa decided to exit jezero crater?",2024-08-25T23:44:28.849Z,-1
11,detail opportunity nasa office of the general counsel,2024-08-26T23:04:16.635118Z,0
12,"som et 58 mars perseverance sol 907 video 2 this image was acquired on sept. 8, 2023 sol 907 . audio som et 58 mars credit nasa jpl caltech asu गलग रह গল งคาร youtu.be r9fc9jujphi",2024-08-28T20:57:07.816Z,0
13,all of these posts from .bsky.social are important for making your count in this election. wanted to highlight this one in california. george whitesides is running. you may know him as the former ceo of virgin galactic or when he was chief of staff at nasa. support him,2024-08-29T18:12:02.985Z,1
14,"nasa decides to keep 2 astronauts in space until february, nixes return on troubled boeing capsule",2024-08-25T23:52:21.000Z,-1
15,"if you follow up bkf with a rinse and then a 10 citric acid spritz and leave the citric acid to dry , you ll passivate your stainless steel. it ll be less prone to staining and more shiny! iirc, nasa has a technical document about passivating stainless this way. yay science!",2024-08-30T14:35:42.371Z,1
16,i didn t realize i should file a nasa report for a flat tire.,2024-08-28T20:08:31.850Z,-1
17,i think nasa not wanting the crew dying in a re entry fireball had something to do with switching to space x.,2024-08-25T08:14:28.686Z,-1
18,nasa bumps two astronauts from spacex flight to make room for starliner crew spaceflight now more info from ecosearch,2024-08-30T19:49:09.585418+00:00,-1
19,"nasa says it s a decision made of the technical expertise that nasa has,witch is more than boeing has. still nasa is committed to continue work with boeing. nevertheless nasa said that there is a disagreement of risk management between nasa boeing technicians",2024-08-24T17:37:37.702Z,-1
20,nasa celebrates 25 years of high school aerospace scholars,2024-08-29T20:05:30.668010Z,1
21,interesting read. scitechdaily.com nasa confron...,2024-08-28T20:36:50.349Z,1
22,"i don t care what nasa keeps calling them. to me, they re butch and sunidance forever now...",2024-08-24T17:36:14.635Z,-1
23,"nasa is preparing space at the agency s kennedy space center in florida for upcoming assembly activities of the sls space launch system rocket core stage for future artemis missions, beginning with artemis iii. cerebral overload.com ?p 115267",2024-08-29T05:32:06Z,0
24,also hope boeing and nasa has the institutional support to finish the job and make starliner viable. unfortunately only so many remaining atlas flights remaining. spacex can t be the only american option.,2024-08-24T21:05:20.889Z,1
25,and then goes on to say that he named the crater chicxulub so that the academics and nasa scientists who didn t believe him would have to struggle to pronounce it,2024-08-27T23:11:13.556Z,1
26,"for a mission to mars. hired as a human computer she helped pioneer the use of computers at nasa. she was awarded the presidential medal of freedom by president obama in 2015, the silver snoopy award by nasa astronaut leland d. melvin and a nasa group achievement award 5",2024-08-26T13:54:34.685Z,1
27,"they re not using the boeing capsule because nasa doesn t trust the thrusters to not misfire on reentry, right? they re just skipping the first spacex capsule back because of the suit issue.",2024-08-25T13:53:14.752Z,-1
28,"nasa will return boeing s starliner to earth without astronauts butch wilmore and suni williams aboard the spacecraft, the agency announced saturday. cerebral overload.com 2024 08 nasa...",2024-08-24T22:41:02Z,-1
29,"i m sorry if i come across as a know it all. nasa and space sciences are my main interests. i m no expert by any means, but i try to stay up to date on what s going on. please don t think my purpose to to say your wrong and i m right. that s not what i m about. i just love talking about this.",2024-08-25T16:21:06.958Z,-1
30,new nasa study tallies carbon emissions from massive canadian fires new nasa study tallies carbon emissions from massive canadian fires,2024-08-28T23:39:17+00:00,-1
31,"boeing starliner will fly back to earth un crewed, announces nasa.",2024-08-24T17:30:38.000Z,-1
32,"nasa really, really, wants a second operational crew capsule",2024-08-24T18:19:10.361Z,1
